airline_sentiment,text
1,virginamerica dhepburn said
2,virginamerica plus added commercials experience tacky
1,virginamerica today must mean need take another trip
0,virginamerica really aggressive blast obnoxious entertainment guests faces amp little recourse
0,virginamerica really big bad thing
0,virginamerica seriously would pay flight seats playing really bad thing flying va
2,virginamerica yes nearly every time fly vx ear worm go away
1,virginamerica really missed prime opportunity men without hats parody url
2,virginamerica well
2,virginamerica amazing arrived hour early good
1,virginamerica know suicide second leading cause death among teens
2,virginamerica lt pretty graphics much better minimal iconography
2,virginamerica great deal already thinking nd trip australia amp even gone st trip yet p
2,virginamerica virginmedia flying fabulous seductive skies u take stress away travel url
2,virginamerica thanks
0,virginamerica sfo pdx schedule still mia
2,virginamerica excited first cross country flight lax mco heard nothing great things virgin america daystogo
0,virginamerica flew nyc sfo last week fully sit seat due two large gentleman either side help
2,flying virginamerica
2,virginamerica know would amazingly awesome bos fll please want fly
0,virginamerica first fares may three times carriers seats available select
2,virginamerica love graphic url
2,virginamerica love hipster innovation feel good brand
1,virginamerica making bos gt las non stop permanently anytime soon
0,virginamerica guys messed seating reserved seating friends guys gave seat away want free internet
0,virginamerica status match program applied three weeks called emailed response
0,virginamerica happened ur vegan food options least say ur site know able eat anything next hrs fail
1,virginamerica miss worry together soon
0,virginamerica amazing get cold air vents vx noair worstflightever roasted sfotobos
1,virginamerica lax ewr middle seat red eye noob maneuver sendambien andchexmix
0,virginamerica hi bked cool birthday trip add elevate cause entered middle name flight booking problems
1,virginamerica hours operation club sfo posted online current
0,virginamerica help left expensive headphones flight iad lax today seat one answering l amp f number lax
0,virginamerica awaiting return phone call would prefer use online self service option
2,virginamerica great news america could start flights hawaii end year url via pacificbiznews
1,nice rt virginamerica vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience url
2,virginamerica moodlighting way fly best experience ever cool calming moodlitmonday
2,virginamerica freddieawards done done best airline around hands
1,virginamerica book flight hawaii
0,virginamerica chat support working site url
2,virginamerica view downtown los angeles hollywood sign beyond rain mountains url
0,virginamerica hey first time flyer next week excited hard time getting flights added elevate account help
1,virginamerica plz help win bid upgrade flight lax gt sea
1,virginamerica unused ticket moved new city fly fly expires travelhelp
1,virginamerica flights leaving dallas seattle time feb
2,virginamerica elevategold good reason rock
1,virginamerica dream url url
2,virginamerica wow blew mind
